matchNum,allianceStationID,team,teamMatchNum,preNoShow,preStartPosID,autoFuelTotal,autoNZtotal,autoLinePen,autoClimbTypeID,autoClimbLocID,teleFuelTotal,teleNZtotal,nzShuttle,oppShuttle,oppPickup,climbTypeID,climbLocID,climbTime,postSubBroke,postBreakDown,postBeach,postDef,postWasDef,BATechFoul,BAFoul,RP1,RP2,RP3,nzPlow,alliancePickup
21,4,195,4,0.0,5.0,31,4,0,,,105,4,2,0,0,5.0,,,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1,2
21,5,839,4,0.0,1.0,0,1,0,,,0,1,0,0,0,5.0,,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7,0
21,6,8709,4,0.0,3.0,8,1,0,,,12,4,2,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1,0
22,1,7153,4,0.0,3.0,5,1,0,,,35,4,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
22,2,173,4,0.0,1.0,0,1,0,,,11,2,0,0,0,5.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
22,3,6895,4,0.0,2.0,0,1,0,,,0,1,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
22,4,176,4,0.0,1.0,0,3,0,,,91,2,1,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,4
22,5,6346,4,0.0,4.0,5,3,0,,,27,1,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1
22,6,155,4,0.0,3.0,0,1,0,,,14,2,0,0,0,5.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,0
23,1,178,4,0.0,1.0,0,1,0,,,7,1,0,0,0,5.0,,,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2,0
23,2,9101,4,0.0,4.0,0,1,0,,,0,0,0,0,0,5.0,,,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0
23,3,7694,4,0.0,3.0,10,1,0,,,3,2,0,0,0,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0,0
23,4,1991,4,0.0,1.0,0,0,0,,,0,1,0,0,0,5.0,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
23,5,9710,4,0.0,3.0,0,1,0,,,0,1,0,0,0,5.0,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
23,6,2067,4,0.0,5.0,25,3,0,,,75,3,0,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,2
24,1,571,4,0.0,1.0,0,3,0,,,66,5,1,0,0,5.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,3
24,2,1740,4,0.0,3.0,10,1,0,,,52,6,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
24,3,2370,4,0.0,5.0,35,3,0,,,260,4,10,0,2,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
24,4,1100,4,0.0,4.0,0,0,0,,,0,0,0,0,0,5.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
24,5,5142,4,0.0,4.0,0,1,0,,,0,1,0,0,0,5.0,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
24,6,3146,4,0.0,3.0,10,1,0,,,44,4,3,0,0,5.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
25,1,1027,4,1.0,,0,0,0,,,0,0,0,0,0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0,0
25,2,7127,4,0.0,3.0,7,1,0,,,63,4,1,0,0,5.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
25,3,177,4,0.0,5.0,0,3,0,,,27,2,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
25,4,10910,4,0.0,1.0,0,1,0,,,0,1,0,1,0,5.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
25,5,4034,4,0.0,3.0,2,1,0,,,2,1,0,0,0,1.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1
25,6,237,4,0.0,5.0,12,2,0,,,49,8,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
